요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
평일,3,336,학여울,하선,8.4,15.3,14.6,18.1,23.0,25.2,16.3,11.5,10.8,9.3,10.5,12.4,13.0,13.1,12.7,15.3,18.0,19.6,18.5,17.2,19.7,27.0,35.3,35.9,28.9,38.9,38.9,26.6,21.2,19.8,16.2,17.4,20.0,26.9,20.1,11.4,8.7,4.7,2.7
평일,3,337,대청,하선,8.8,14.1,13.5,17.1,20.2,23.8,13.9,11.2,10.0,8.9,10.0,10.9,13.1,11.9,12.4,14.4,15.9,17.9,17.9,15.3,20.0,21.9,32.4,34.5,27.0,36.4,34.3,23.5,18.8,17.4,14.1,14.5,16.8,21.8,16.4,9.5,6.9,4.3,1.9
평일,3,338,일원,하선,8.9,11.2,9.9,11.9,16.1,19.2,16.2,8.7,8.4,7.0,8.0,9.3,12.9,9.3,10.5,11.9,13.3,15.0,15.7,14.3,19.3,21.0,30.2,35.3,26.6,30.5,37.1,21.0,17.4,13.8,14.7,12.7,14.7,18.7,14.8,8.2,7.7,3.7,1.4
평일,3,339,수서,하선,8.8,8.0,7.4,10.1,15.3,19.2,15.4,8.1,8.6,6.1,8.2,8.9,12.7,8.3,10.4,11.6,12.5,13.4,14.7,14.6,17.8,20.1,28.8,35.0,26.0,30.6,35.0,18.9,17.1,12.1,14.1,11.4,13.7,15.1,16.0,7.0,8.0,4.1,0.9
평일,3,340,가락시장,하선,0.0,5.9,4.7,6.5,9.7,14.3,12.4,7.0,5.7,6.4,6.1,6.9,7.3,7.2,5.8,7.6,7.9,8.6,8.8,10.1,11.3,17.7,17.8,22.4,15.9,17.3,27.9,19.5,12.1,10.0,11.1,9.4,13.4,13.3,10.2,8.5,8.5,2.7,1.9
평일,3,341,경찰병원,하선,0.0,4.7,3.5,4.8,6.9,9.6,7.4,3.8,3.3,4.5,4.3,5.6,5.5,5.6,4.1,5.9,6.0,6.9,6.6,8.6,9.2,13.8,14.9,18.3,14.6,15.3,22.3,14.7,9.0,7.8,8.2,7.6,10.1,10.5,7.7,6.4,5.5,1.9,1.1
평일,3,342,오금,하선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
토요일,3,309,지축,하선,41.0,19.7,18.1,22.6,35.0,47.0,38.2,54.8,50.8,53.2,51.2,46.6,56.0,60.9,45.5,47.8,51.8,51.4,49.4,42.6,52.3,51.1,69.6,99.5,93.7,52.0,31.6,26.7,24.7,12.2,18.0,10.6,13.6,17.4,9.7,7.8,5.9,0.0,
토요일,3,310,구파발,하선,3.9,18.0,9.4,16.4,20.3,31.8,35.7,38.2,35.8,37.3,44.3,43.8,28.8,43.7,28.5,33.8,27.1,36.4,26.3,32.7,29.1,37.5,35.6,65.6,43.0,45.2,22.3,14.0,17.1,10.7,12.7,12.7,12.5,10.9,8.0,8.9,4.7,0.0,
토요일,3,311,연신내,하선,11.1,19.8,14.6,14.7,25.4,32.5,41.7,37.8,40.8,40.3,47.1,48.5,35.9,37.3,36.5,33.0,35.2,30.3,33.8,27.6,34.6,28.7,40.0,51.9,50.8,43.8,22.3,17.2,13.1,13.6,10.4,12.4,11.1,9.3,8.7,9.1,8.1,0.0,
토요일,3,312,불광,하선,16.2,23.4,17.6,19.0,31.8,37.1,47.4,45.9,47.2,46.9,53.7,56.5,40.9,44.0,45.1,36.9,40.5,35.4,38.5,33.5,38.9,34.6,44.5,56.2,54.1,47.1,24.8,19.8,14.9,15.5,12.2,14.1,13.3,10.6,9.6,9.4,8.7,0.0,
토요일,3,313,녹번,하선,20.3,25.6,19.6,21.8,35.6,41.2,51.4,51.0,51.1,51.5,51.7,64.9,45.3,47.9,48.8,40.1,43.3,38.6,40.9,35.6,40.6,36.9,45.9,58.6,55.2,47.7,24.9,19.8,15.1,15.7,11.8,13.8,13.0,10.6,9.3,8.9,7.2,0.0,
토요일,3,314,홍제,하선,25.6,28.8,19.3,24.6,36.9,47.1,52.8,55.8,57.2,53.1,54.7,70.9,51.6,54.5,50.8,43.8,43.9,49.3,40.0,42.9,37.5,45.4,43.9,62.4,56.6,52.2,30.5,20.9,17.2,15.8,13.6,13.4,13.2,11.8,8.8,8.8,6.5,0.0,
토요일,3,315,무악재,하선,26.4,29.3,19.7,25.2,37.9,48.4,53.9,57.2,58.2,54.4,56.2,72.8,53.0,55.7,50.7,46.9,45.2,50.3,40.8,43.6,38.0,46.2,44.8,63.0,57.1,52.8,30.6,21.0,17.1,16.0,13.8,13.3,12.1,13.0,8.7,8.5,6.3,0.0,
토요일,3,316,독립문,하선,21.6,29.3,20.8,23.6,35.3,49.0,54.3,58.1,57.5,54.8,60.7,67.8,54.6,58.2,52.9,48.2,47.7,53.1,43.2,45.5,39.9,48.6,47.2,65.5,58.0,54.0,31.4,21.5,17.6,16.2,14.2,12.7,13.3,13.0,8.8,8.6,6.2,0.0,
