요일구분,호선,역번호,출발역,상하구분,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
일요일,3,327,신사,하선,6.6,12.9,10.1,8.4,9.9,14.3,17.2,20.1,22.8,21.5,24.4,26.9,27.4,23.4,29.7,29.0,27.1,30.7,33.2,32.7,32.4,35.1,33.5,38.1,33.9,34.4,28.3,27.3,27.3,23.9,26.3,21.5,19.7,20.4,14.0,9.7,7.3,0.0,
일요일,3,328,잠원,하선,6.8,13.0,10.3,8.5,10.0,14.6,17.8,20.5,23.3,21.7,24.6,27.5,27.6,23.6,29.8,29.4,27.5,31.3,33.5,32.9,32.7,35.1,33.4,38.2,34.3,34.5,28.7,27.0,27.0,24.0,26.3,21.7,19.8,20.1,13.8,9.7,7.0,0.0,
일요일,3,329,고속터미널,하선,6.9,12.9,11.5,9.1,11.4,16.6,21.0,22.2,25.2,21.9,23.9,26.0,29.0,23.4,31.1,31.2,24.3,32.7,30.1,34.0,36.1,33.5,35.0,36.7,35.9,33.1,34.9,27.4,28.5,28.9,29.9,24.8,24.1,24.4,17.4,10.9,7.7,0.0,
일요일,3,330,교대,하선,8.8,12.3,10.5,8.6,10.4,16.3,20.0,21.4,20.8,20.6,21.3,20.6,26.3,21.2,26.1,27.4,22.6,29.8,24.2,27.8,31.2,28.3,29.1,30.0,31.3,28.4,30.2,23.1,24.1,24.6,24.5,19.2,18.0,19.8,14.3,9.8,7.1,0.0,
일요일,3,331,남부터미널,하선,7.4,9.5,8.5,7.0,8.5,12.1,18.2,18.3,17.1,17.1,16.8,16.8,21.1,16.7,19.9,20.1,16.8,22.4,19.2,21.6,23.0,21.9,22.8,24.3,23.5,22.5,23.9,18.9,19.7,21.1,21.9,21.0,17.8,21.3,13.4,8.6,6.9,0.0,
일요일,3,332,양재,하선,4.7,8.5,4.8,4.8,5.2,8.9,12.7,12.5,13.9,12.9,11.8,11.1,14.9,14.8,15.2,17.1,14.0,13.2,16.3,17.5,17.4,17.9,18.3,19.9,19.8,19.5,19.2,15.1,16.7,16.1,15.1,14.7,14.6,17.3,10.2,6.6,6.7,0.5,
일요일,3,333,매봉,하선,5.5,7.7,4.4,4.4,4.7,8.4,11.8,11.7,12.7,12.4,10.7,10.7,13.2,13.7,14.6,17.1,13.4,12.9,15.8,16.6,16.7,17.5,17.5,19.3,18.9,18.6,18.4,14.7,15.8,15.6,14.7,14.4,14.3,16.6,10.5,7.2,5.7,0.4,
일요일,3,334,도곡,하선,4.9,6.9,3.7,3.4,4.1,7.2,9.7,9.4,10.7,10.7,9.2,8.6,9.8,11.4,12.4,15.0,11.3,11.1,13.6,14.0,13.9,15.0,14.5,16.4,16.7,16.1,16.6,12.4,13.4,13.5,11.8,12.4,13.2,12.4,10.3,6.2,4.9,0.0,
일요일,3,335,대치,하선,5.3,6.0,3.6,3.2,3.2,5.1,6.8,7.7,8.7,9.3,9.1,7.4,8.3,9.0,10.9,11.3,10.1,10.1,12.1,12.3,14.0,13.5,11.9,18.2,14.2,14.7,15.4,11.8,11.8,12.8,11.5,12.7,11.6,13.5,10.1,5.9,4.3,0.0,
일요일,3,336,학여울,하선,5.3,6.8,3.7,3.3,3.0,4.9,6.3,6.9,6.2,8.8,8.0,6.4,7.8,8.2,10.1,10.6,9.2,9.6,10.8,11.6,13.7,13.3,11.6,18.3,14.2,14.9,15.4,11.6,11.7,12.6,11.3,12.7,11.4,13.4,9.9,5.7,4.2,0.0,
일요일,3,337,대청,하선,5.8,6.8,3.3,3.3,3.0,4.8,6.5,6.6,6.2,8.7,7.9,6.4,7.7,7.8,9.8,9.9,9.0,8.4,9.6,10.8,12.7,11.8,10.6,16.4,12.4,13.1,13.6,10.0,10.2,10.9,9.8,10.6,9.8,11.7,8.6,4.6,4.2,1.6,
일요일,3,338,일원,하선,5.5,5.8,2.7,2.9,2.7,3.5,5.5,5.9,6.7,6.8,7.3,5.9,7.5,8.5,9.0,8.8,8.3,7.6,9.8,9.5,11.6,10.6,12.2,13.0,12.8,12.5,11.5,9.9,9.8,8.9,8.6,10.1,9.0,11.0,7.6,4.0,3.9,1.3,
일요일,3,339,수서,하선,5.1,4.0,2.5,2.3,2.3,3.7,4.8,5.1,6.5,7.7,8.2,7.5,8.2,9.6,9.2,10.1,8.7,6.8,9.1,10.9,11.7,11.3,11.1,11.8,11.3,12.1,10.7,9.0,8.7,7.3,7.0,9.6,7.5,8.6,7.7,3.9,3.7,0.0,
일요일,3,340,가락시장,하선,,3.2,1.7,1.7,1.4,2.1,3.4,3.1,4.4,5.5,4.3,4.0,4.7,4.9,5.3,6.3,5.3,3.5,6.5,6.7,7.9,7.6,6.4,7.5,9.2,7.3,8.1,5.9,6.0,5.6,7.7,7.1,6.2,7.8,6.0,5.8,3.5,0.0,
일요일,3,341,경찰병원,하선,,2.8,1.3,1.7,1.2,1.6,2.6,3.1,3.6,4.6,4.0,2.9,3.9,4.8,4.0,4.6,5.2,2.8,4.7,5.6,7.4,4.9,6.3,6.2,6.4,5.5,6.7,4.5,4.9,4.7,5.0,5.1,4.7,6.2,4.4,4.1,2.4,0.0,
일요일,3,342,오금,하선,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
